Pos,No,Name,Height,Weight,DOB,From
F,12,"Brissett, Oshae",6 ft 7 in (2.01 m),210 lb (95 kg),1998-06-20,Syracuse
G/F,7,"Brown, Jaylen",6 ft 6 in (1.98 m),223 lb (101 kg),1996-10-24,California
G,20,"Davison, JD(TW)",6 ft 1 in (1.85 m),195 lb (88 kg),2002-10-03,Alabama
F,30,"Hauser, Sam",6 ft 7 in (2.01 m),217 lb (98 kg),1997-12-08,Virginia
G,4,"Holiday, Jrue",6 ft 4 in (1.93 m),205 lb (93 kg),1990-06-12,UCLA
F/C,42,"Horford, Al",6 ft 9 in (2.06 m),240 lb (109 kg),1986-06-03,Florida
C,40,"Kornet, Luke",7 ft 2 in (2.18 m),250 lb (113 kg),1995-07-15,Vanderbilt
G/F,50,"Mykhailiuk, Sviatoslav",6 ft 7 in (2.01 m),205 lb (93 kg),1997-06-10,Kansas
F,13,"Peterson, Drew(TW)",6 ft 9 in (2.06 m),205 lb (93 kg),1999-11-09,USC
F/C,8,"Porziņģis, Kristaps",7 ft 3 in (2.21 m),240 lb (109 kg),1995-08-02,Latvia
G,11,"Pritchard, Payton",6 ft 1 in (1.85 m),195 lb (88 kg),1998-01-28,Oregon
C,88,"Queta, Neemias",7 ft 0 in (2.13 m),248 lb (112 kg),1999-07-13,Utah State
G,44,"Springer, Jaden",6 ft 4 in (1.93 m),202 lb (92 kg),2002-09-25,Tennessee
F,0,"Tatum, Jayson",6 ft 8 in (2.03 m),210 lb (95 kg),1998-03-03,Duke
F/C,26,"Tillman, Xavier",6 ft 7 in (2.01 m),245 lb (111 kg),1999-01-12,Michigan State
G/F,27,"Walsh, Jordan",6 ft 6 in (1.98 m),205 lb (93 kg),2004-03-03,Arkansas
G,9,"White, Derrick",6 ft 4 in (1.93 m),190 lb (86 kg),1994-07-02,Colorado
